"install_date","country","platform","network","day","installs","spend_usd","cpi","cum_revenue_usd","ltv_per_user","roas","ltv_to_cpi"
"2019-08-24","Mordor","ios","Paid Network 3",14,149,438,2.9395973154362416,12.719182466432642,0.08536364071431303,0.02903922937541699,0.02903922937541699
"2019-08-24","Mordor","ios","Paid Network 6",1,117,623.6580000000001,5.330410256410257,20.112468310490314,0.17190143855119927,0.032249194767789896,0.032249194767789896
"2019-08-24","Mordor","ios","Paid Network 6",7,117,623.6580000000001,5.330410256410257,72.21609591214366,0.6172315889926808,0.11579438716755601,0.11579438716755601
"2019-08-24","Mordor","ios","Paid Network 6",14,117,623.6580000000001,5.330410256410257,122.78668331930555,1.0494588317889364,0.19688143713270018,0.1968814371327002
"2019-08-24","Tatooine","android","Organic",1,95,,,20.951543088021474,0.22054255882127868,,
"2019-08-24","Tatooine","android","Organic",14,95,,,85.9479468443756,0.9047152299407957,,
"2019-08-24","Tatooine","android","Paid Network 1",1,407,2994.5600000000004,7.357641277641279,188.7083914823013,0.4636569815289958,0.0630170681109416,0.0630170681109416
"2019-08-24","Tatooine","android","Paid Network 1",7,407,2994.5600000000004,7.357641277641279,364.972720925872,0.8967388720537396,0.12187858013393352,0.12187858013393352
"2019-08-24","Tatooine","android","Paid Network 1",14,407,2994.5600000000004,7.357641277641279,544.3675787511157,1.3375124785039698,0.1817854972854495,0.1817854972854495
"2019-08-24","Tatooine","android","Paid Network 3",1,279,1116,4,5.7141647752910245,0.020480877330792204,0.005120219332698051,0.005120219332698051
"2019-08-24","Tatooine","android","Paid Network 6",1,273,1533.81,5.6183516483516485,72.56457024926584,0.2658042866273474,0.0473100124847705,0.0473100124847705
"2019-08-24","Tatooine","android","Paid Network 6",7,273,1533.81,5.6183516483516485,146.02981549465645,0.5349077490646756,0.09520723915912431,0.0952072391591243
"2019-08-24","Tatooine","android","Unknown",1,9,,,13.59950612136597,1.51105623570733,,
"2019-08-24","Tatooine","ios","Organic",1,230,,,31.74073292349996,0.13800318662391287,,
"2019-08-24","Tatooine","ios","Organic",7,230,,,91.66590462974987,0.3985474114336951,,
"2019-08-24","Tatooine","ios","Organic",14,230,,,163.26738471435047,0.7098581944102195,,
"2019-08-24","Tatooine","ios","Paid Network 1",1,430,2702.98,6.2860000000000005,182.57774479188592,0.42459940649275796,0.06754683526769932,0.06754683526769932
"2019-08-24","Tatooine","ios","Paid Network 1",7,430,2702.98,6.2860000000000005,496.46133712749423,1.1545612491337076,0.18367185000536232,0.18367185000536232
"2019-08-24","Tatooine","ios","Paid Network 1",14,430,2702.98,6.2860000000000005,622.6949462620157,1.4481277820046876,0.2303734937964823,0.23037349379648225
"2019-08-24","Tatooine","ios","Paid Network 3",1,294,1318.5,4.48469387755102,11.16198732188711,0.03796594327172487,0.008465671082204862,0.008465671082204862
"2019-08-24","Tatooine","ios","Paid Network 3",7,294,1318.5,4.48469387755102,64.05345708846913,0.21786890166145964,0.04858055145124697,0.04858055145124698
"2019-08-24","Tatooine","ios","Paid Network 3",14,294,1318.5,4.48469387755102,104.12315152677597,0.3541603793427754,0.07897091507529463,0.07897091507529462
"2019-08-24","Tatooine","ios","Paid Network 4",1,273,866,3.172161172161172,1.6115240233388866,0.005903018400508742,0.0018608822440402846,0.0018608822440402848
"2019-08-24","Tatooine","ios","Paid Network 4",14,273,866,3.172161172161172,10.282720139149317,0.03766564153534548,0.011873810784237087,0.011873810784237087
"2019-08-24","Tatooine","ios","Paid Network 5",1,27,195,7.222222222222222,10.766094892768827,0.39874425528773433,0.05521074303984014,0.05521074303984014
"2019-08-24","Tatooine","ios","Paid Network 6",1,276,1524.53,5.523659420289855,62.207382314731966,0.22538906635772452,0.04080430186006964,0.04080430186006964
"2019-08-24","Tatooine","ios","Paid Network 6",7,276,1524.53,5.523659420289855,154.00616140729826,0.5579933384322401,0.10101878048139314,0.10101878048139314
"2019-08-24","Tatooine","ios","Paid Network 6",14,276,1524.53,5.523659420289855,228.82111042081266,0.8290619942783067,0.1500928879200886,0.1500928879200886
"2019-08-24","Tatooine","ios","Unknown",1,5,,,0.8030409152305926,0.1606081830461185,,
"2019-08-25","Asgard","android","Organic",7,28,,,9.404348106566102,0.33586957523450367,,
"2019-08-25","Asgard","android","Paid Network 1",1,76,413.56,5.441578947368421,58.569238814398275,0.7706478791368194,0.1416221075887375,0.1416221075887375
"2019-08-25","Asgard","android","Paid Network 1",7,76,413.56,5.441578947368421,161.263372675532,2.1218864825727892,0.3899394832080762,0.3899394832080762
"2019-08-25","Asgard","android","Paid Network 1",14,76,413.56,5.441578947368421,221.54321948351932,2.9150423616252543,0.5356978902300013,0.5356978902300013
"2019-08-25","Asgard","android","Paid Network 5",1,14,45.5,3.25,5.184430488553094,0.3703164634680781,0.11394352722094712,0.11394352722094711
"2019-08-25","Asgard","ios","Organic",1,29,,,5.8448519041777525,0.20154661738543975,,
"2019-08-25","Asgard","ios","Paid Network 1",1,62,409.87,6.610806451612904,15.721736519946074,0.2535763954830012,0.03835786107777118,0.03835786107777118
"2019-08-25","Asgard","ios","Paid Network 1",7,62,409.87,6.610806451612904,42.396027871650865,0.6838069011556591,0.10343774336167777,0.10343774336167776
"2019-08-25","Asgard","ios","Paid Network 1",14,62,409.87,6.610806451612904,71.42114488192277,1.151953949708432,0.1742531653498006,0.1742531653498006
"2019-08-25","Gargantua","android","Organic",1,140,,,16.600326266401932,0.11857375904572809,,
"2019-08-25","Gargantua","android","Organic",7,140,,,30.78817464525244,0.21991553318037457,,
"2019-08-25","Gargantua","android","Paid Network 1",1,375,2608.99,6.957306666666666,152.64182746214152,0.40704487323237737,0.058506099088973716,0.058506099088973716
"2019-08-25","Gargantua","android","Paid Network 1",7,375,2608.99,6.957306666666666,344.8831674383476,0.9196884465022602,0.13219029871266183,0.13219029871266186
"2019-08-25","Gargantua","android","Paid Network 1",14,375,2608.99,6.957306666666666,448.9791140804794,1.197277637547945,0.17208924299459924,0.17208924299459924
"2019-08-25","Gargantua","android","Paid Network 4",1,328,805,2.4542682926829267,9.668051321253582,0.02947576622333409,0.012010001641308797,0.012010001641308799
"2019-08-25","Gargantua","android","Paid Network 4",7,328,805,2.4542682926829267,16.8346744782829,0.051325227067935665,0.020912639103457017,0.020912639103457017
"2019-08-25","Gargantua","android","Paid Network 5",1,30,120,4,0.6620911033314286,0.022069703444380955,0.005517425861095239,0.005517425861095239
"2019-08-25","Gargantua","android","Paid Network 6",1,301,1725.85,5.733720930232558,63.019580423534805,0.20936737682237477,0.03651509715417609,0.03651509715417609
"2019-08-25","Gargantua","android","Paid Network 6",7,301,1725.85,5.733720930232558,98.47083305116256,0.3271456247546929,0.05705642613851874,0.05705642613851874
"2019-08-25","Gargantua","android","Paid Network 6",14,301,1725.85,5.733720930232558,128.707057686038,0.4275981982924851,0.07457603945072748,0.07457603945072748
"2019-08-25","Gargantua","android","Unknown",1,6,,,4.226431178408895,0.7044051964014825,,
"2019-08-25","Gargantua","ios","Organic",1,201,,,10.308467761441346,0.05128590926090222,,
"2019-08-25","Gargantua","ios","Organic",7,201,,,24.24175054841007,0.12060572412144314,,
"2019-08-25","Gargantua","ios","Organic",14,201,,,40.233315691086325,0.20016574970689713,,
"2019-08-25","Gargantua","ios","Paid Network 1",1,294,2411.48,8.202312925170068,172.17988618036762,0.5856458713617946,0.07140008881697862,0.07140008881697862
"2019-08-25","Gargantua","ios","Paid Network 1",7,294,2411.48,8.202312925170068,291.0808992470889,0.990071085874452,0.1207063294106063,0.12070632941060631
"2019-08-25","Gargantua","ios","Paid Network 1",14,294,2411.48,8.202312925170068,318.7148599039526,1.084064149333172,0.1321656658582914,0.1321656658582914
"2019-08-25","Gargantua","ios","Paid Network 3",1,346,1211,3.5,16.91987521639914,0.04890137345780099,0.01397182098794314,0.01397182098794314
"2019-08-25","Gargantua","ios","Paid Network 3",7,346,1211,3.5,42.144291427884475,0.12180431048521524,0.034801231567204355,0.034801231567204355
"2019-08-25","Gargantua","ios","Paid Network 3",14,346,1211,3.5,47.21802033387736,0.13646826686091723,0.03899093338883349,0.03899093338883349
"2019-08-25","Gargantua","ios","Paid Network 6",1,187,1310.2700000000002,7.006791443850268,101.4422457506943,0.5424719024101299,0.07742087184373776,0.07742087184373776
"2019-08-25","Gargantua","ios","Paid Network 6",7,187,1310.2700000000002,7.006791443850268,135.09414983973977,0.7224286087686619,0.10310405476713941,0.10310405476713941
"2019-08-25","Gargantua","ios","Paid Network 6",14,187,1310.2700000000002,7.006791443850268,182.8575193160505,0.9778476968772755,0.13955712892461133,0.13955712892461133
"2019-08-25","Gotham","android","Organic",1,66,,,11.208111586378898,0.1698198725208924,,
"2019-08-25","Gotham","android","Organic",14,66,,,34.28220438948719,0.5194273392346545,,
"2019-08-25","Gotham","android","Paid Network 1",1,166,840.69,5.064397590361446,31.992990462877785,0.19272885821010713,0.03805563342358989,0.038055633423589884
"2019-08-25","Gotham","android","Paid Network 1",7,166,840.69,5.064397590361446,99.2378634574963,0.5978184545632308,0.118043349459963,0.118043349459963
"2019-08-25","Gotham","android","Paid Network 3",1,248,615,2.4798387096774195,5.628957468543721,0.022697409147353714,0.009152776371615807,0.009152776371615805
"2019-08-25","Gotham","android","Paid Network 3",7,248,615,2.4798387096774195,8.867475409407916,0.035755949231483536,0.014418659202289295,0.014418659202289295
"2019-08-25","Gotham","android","Paid Network 4",1,192,376,1.9583333333333333,8.471665960473612,0.04412326021080006,0.022531026490621307,0.02253102649062131
"2019-08-25","Gotham","android","Paid Network 6",1,161,594.587,3.6930869565217392,27.58622963091471,0.17134304118580565,0.04639561515962291,0.04639561515962291
"2019-08-25","Gotham","android","Paid Network 6",7,161,594.587,3.6930869565217392,58.626934332810585,0.3641424492721154,0.09860110351018536,0.09860110351018536
"2019-08-25","Gotham","android","Paid Network 6",14,161,594.587,3.6930869565217392,125.69846737007875,0.7807358221744022,0.21140466806384725,0.21140466806384725
"2019-08-25","Gotham","ios","Paid Network 1",1,112,665.46,5.941607142857143,20.06092871891732,0.17911543499033322,0.030145957261018423,0.030145957261018423
"2019-08-25","Gotham","ios","Paid Network 1",7,112,665.46,5.941607142857143,44.96616666478004,0.4014836309355361,0.06757155451083467,0.06757155451083467
"2019-08-25","Gotham","ios","Paid Network 1",14,112,665.46,5.941607142857143,58.926177130056494,0.5261265815183616,0.08854954036314203,0.08854954036314203
"2019-08-25","Gotham","ios","Paid Network 4",1,74,152,2.054054054054054,3.3643948299769835,0.045464794999688966,0.02213417651300647,0.022134176513006473
"2019-08-25","Gotham","ios","Paid Network 6",1,101,533.105,5.278267326732673,70.54242228484578,0.6984398246024335,0.1323236928650937,0.1323236928650937
"2019-08-25","Gotham","ios","Paid Network 6",7,101,533.105,5.278267326732673,157.826346917553,1.562637098193594,0.29605114736787874,0.29605114736787874
"2019-08-25","Gotham","ios","Paid Network 6",14,101,533.105,5.278267326732673,186.9586432180652,1.851075675426388,0.3506975984432057,0.3506975984432057
"2019-08-25","Gotham","ios","Unknown",1,4,,,1.3639438499906689,0.3409859624976672,,
"2019-08-25","Krypton","android","Paid Network 1",1,97,709.7,7.316494845360825,57.56377179614287,0.5934409463519884,0.08111000675798628,0.0811100067579863
"2019-08-25","Krypton","android","Paid Network 1",7,97,709.7,7.316494845360825,127.16724332950773,1.3110025085516261,0.17918450518459592,0.17918450518459592
"2019-08-25","Krypton","android","Paid Network 1",14,97,709.7,7.316494845360825,208.45724964661258,2.1490438107898204,0.2937258695880126,0.2937258695880126
"2019-08-25","Krypton","android","Paid Network 3",1,114,287.49999999999994,2.521929824561403,4.865942182042757,0.04268370335125226,0.016925016285366117,0.016925016285366117
"2019-08-25","Krypton","android","Paid Network 4",1,50,100,2,2.325905563457744,0.04651811126915488,0.02325905563457744,0.02325905563457744
"2019-08-25","Krypton","android","Paid Network 6",1,81,375.011,4.629765432098766,22.304114861340338,0.27535944273259677,0.05947589500398745,0.05947589500398745
"2019-08-25","Krypton","android","Paid Network 6",7,81,375.011,4.629765432098766,46.8126910500199,0.577934457407653,0.12483018111474035,0.12483018111474035
"2019-08-25","Krypton","android","Unknown",7,1,,,2.3088743531186484,2.3088743531186484,,
"2019-08-25","Krypton","ios","Paid Network 1",1,86,690.57,8.029883720930233,46.269980654903776,0.5380230308709741,0.06700259300998272,0.06700259300998274
"2019-08-25","Krypton","ios","Paid Network 1",14,86,690.57,8.029883720930233,148.42375843855058,1.725857656262216,0.2149293459584844,0.21492934595848442
"2019-08-25","Krypton","ios","Paid Network 4",1,22,50.50000000000001,2.295454545454546,10.869631128851879,0.4940741422205399,0.2152402203733045,0.21524022037330448
