"install_date","country","platform","installs_total","d1_returners","d3_returners","d7_returners","d14_returners","d1_retention_pct","d3_retention_pct","d7_retention_pct","d14_retention_pct","eligible_d1","eligible_d3","eligible_d7","eligible_d14"
"2019-08-27","Mordor","ios",305,145,102,81,70,47.54,33.44,26.56,22.95,TRUE,TRUE,TRUE,TRUE
"2019-08-27","Tatooine","android",1075,468,307,265,220,43.53,28.56,24.65,20.47,TRUE,TRUE,TRUE,TRUE
"2019-08-27","Tatooine","ios",1013,496,337,278,226,48.96,33.27,27.44,22.31,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Asgard","android",276,97,63,47,36,35.14,22.83,17.03,13.04,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Asgard","ios",197,77,55,48,43,39.09,27.92,24.37,21.83,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Gargantua","android",1303,565,348,283,242,43.36,26.71,21.72,18.57,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Gargantua","ios",1147,515,324,264,233,44.9,28.25,23.02,20.31,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Gotham","android",570,231,135,115,90,40.53,23.68,20.18,15.79,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Gotham","ios",360,165,107,95,82,45.83,29.72,26.39,22.78,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Krypton","android",233,108,62,55,51,46.35,26.61,23.61,21.89,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Krypton","ios",202,105,72,59,57,51.98,35.64,29.21,28.22,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Mordor","android",302,129,90,73,51,42.72,29.8,24.17,16.89,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Mordor","ios",320,146,97,86,75,45.63,30.31,26.88,23.44,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Tatooine","android",974,454,300,284,234,46.61,30.8,29.16,24.02,TRUE,TRUE,TRUE,TRUE
"2019-08-28","Tatooine","ios",1028,516,363,309,263,50.19,35.31,30.06,25.58,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Asgard","android",181,53,32,28,17,29.28,17.68,15.47,9.39,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Asgard","ios",134,54,43,32,25,40.3,32.09,23.88,18.66,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Gargantua","android",1202,506,317,271,219,42.1,26.37,22.55,18.22,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Gargantua","ios",1088,506,339,279,235,46.51,31.16,25.64,21.6,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Gotham","android",467,173,108,82,60,37.04,23.13,17.56,12.85,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Gotham","ios",356,162,103,79,69,45.51,28.93,22.19,19.38,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Krypton","android",213,82,63,52,34,38.5,29.58,24.41,15.96,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Krypton","ios",145,72,51,44,39,49.66,35.17,30.34,26.9,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Mordor","android",280,110,73,59,43,39.29,26.07,21.07,15.36,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Mordor","ios",254,122,78,65,63,48.03,30.71,25.59,24.8,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Tatooine","android",917,420,306,240,193,45.8,33.37,26.17,21.05,TRUE,TRUE,TRUE,TRUE
"2019-08-29","Tatooine","ios",914,444,306,271,213,48.58,33.48,29.65,23.3,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Asgard","android",216,58,33,27,20,26.85,15.28,12.5,9.26,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Asgard","ios",182,59,40,28,24,32.42,21.98,15.38,13.19,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Gargantua","android",1058,408,305,240,172,38.56,28.83,22.68,16.26,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Gargantua","ios",1051,408,311,211,184,38.82,29.59,20.08,17.51,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Gotham","android",479,216,116,84,79,45.09,24.22,17.54,16.49,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Gotham","ios",392,191,100,81,77,48.72,25.51,20.66,19.64,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Krypton","android",206,76,55,36,30,36.89,26.7,17.48,14.56,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Krypton","ios",187,77,53,47,34,41.18,28.34,25.13,18.18,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Mordor","android",245,95,61,58,42,38.78,24.9,23.67,17.14,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Mordor","ios",275,104,76,66,59,37.82,27.64,24,21.45,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Tatooine","android",918,382,247,201,170,41.61,26.91,21.9,18.52,TRUE,TRUE,TRUE,TRUE
"2019-08-30","Tatooine","ios",975,410,294,244,204,42.05,30.15,25.03,20.92,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Asgard","android",276,103,62,53,38,37.32,22.46,19.2,13.77,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Asgard","ios",223,76,35,36,25,34.08,15.7,16.14,11.21,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Gargantua","android",1144,460,287,228,191,40.21,25.09,19.93,16.7,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Gargantua","ios",1012,423,291,243,202,41.8,28.75,24.01,19.96,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Gotham","android",671,223,125,104,88,33.23,18.63,15.5,13.11,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Gotham","ios",467,213,106,101,69,45.61,22.7,21.63,14.78,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Krypton","android",236,102,53,43,34,43.22,22.46,18.22,14.41,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Krypton","ios",244,117,68,50,47,47.95,27.87,20.49,19.26,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Mordor","android",271,94,66,52,45,34.69,24.35,19.19,16.61,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Mordor","ios",355,139,88,72,58,39.15,24.79,20.28,16.34,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Tatooine","android",1125,466,296,275,220,41.42,26.31,24.44,19.56,TRUE,TRUE,TRUE,TRUE
"2019-08-31","Tatooine","ios",1072,511,323,285,246,47.67,30.13,26.59,22.95,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Asgard","android",332,97,60,69,52,29.22,18.07,20.78,15.66,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Asgard","ios",263,76,58,53,45,28.9,22.05,20.15,17.11,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Gargantua","android",1197,526,311,271,214,43.94,25.98,22.64,17.88,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Gargantua","ios",1013,434,261,234,201,42.84,25.77,23.1,19.84,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Gotham","android",696,201,136,124,91,28.88,19.54,17.82,13.07,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Gotham","ios",553,207,137,104,86,37.43,24.77,18.81,15.55,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Krypton","android",252,97,74,58,43,38.49,29.37,23.02,17.06,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Krypton","ios",263,121,75,68,51,46.01,28.52,25.86,19.39,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Mordor","android",323,109,77,67,41,33.75,23.84,20.74,12.69,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Mordor","ios",384,146,102,82,64,38.02,26.56,21.35,16.67,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Tatooine","android",1041,400,290,240,201,38.42,27.86,23.05,19.31,TRUE,TRUE,TRUE,TRUE
"2019-09-01","Tatooine","ios",969,407,314,259,208,42,32.4,26.73,21.47,TRUE,TRUE,TRUE,TRUE
"2019-09-02","Asgard","android",190,56,43,29,0,29.47,22.63,15.26,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Asgard","ios",172,57,39,30,0,33.14,22.67,17.44,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Gargantua","android",1278,470,343,266,0,36.78,26.84,20.81,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Gargantua","ios",1137,460,298,233,0,40.46,26.21,20.49,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Gotham","android",486,184,133,92,0,37.86,27.37,18.93,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Gotham","ios",386,160,115,90,0,41.45,29.79,23.32,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Krypton","android",179,78,61,43,0,43.58,34.08,24.02,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Krypton","ios",203,97,67,54,0,47.78,33,26.6,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Mordor","android",220,90,61,55,0,40.91,27.73,25,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Mordor","ios",282,136,87,72,0,48.23,30.85,25.53,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Tatooine","android",740,335,252,199,0,45.27,34.05,26.89,,TRUE,TRUE,TRUE,FALSE
"2019-09-02","Tatooine","ios",709,347,255,189,0,48.94,35.97,26.66,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Asgard","android",153,49,37,25,0,32.03,24.18,16.34,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Asgard","ios",144,61,49,39,0,42.36,34.03,27.08,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Gargantua","android",964,453,317,261,0,46.99,32.88,27.07,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Gargantua","ios",871,405,282,222,0,46.5,32.38,25.49,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Gotham","android",448,177,117,97,0,39.51,26.12,21.65,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Gotham","ios",337,155,101,84,0,45.99,29.97,24.93,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Krypton","android",168,72,55,37,0,42.86,32.74,22.02,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Krypton","ios",157,73,53,40,0,46.5,33.76,25.48,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Mordor","android",200,77,49,40,0,38.5,24.5,20,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Mordor","ios",269,117,74,72,0,43.49,27.51,26.77,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Tatooine","android",701,326,238,194,0,46.5,33.95,27.67,,TRUE,TRUE,TRUE,FALSE
"2019-09-03","Tatooine","ios",716,360,295,224,0,50.28,41.2,31.28,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Asgard","android",160,59,35,31,0,36.88,21.88,19.38,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Asgard","ios",135,58,46,31,0,42.96,34.07,22.96,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Gargantua","android",784,339,217,196,0,43.24,27.68,25,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Gargantua","ios",658,293,214,175,0,44.53,32.52,26.6,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Gotham","android",397,145,98,75,0,36.52,24.69,18.89,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Gotham","ios",307,125,83,67,0,40.72,27.04,21.82,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Krypton","android",168,74,46,37,0,44.05,27.38,22.02,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Krypton","ios",145,70,44,36,0,48.28,30.34,24.83,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Mordor","android",190,73,52,41,0,38.42,27.37,21.58,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Mordor","ios",223,96,75,61,0,43.05,33.63,27.35,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Tatooine","android",684,311,224,165,0,45.47,32.75,24.12,,TRUE,TRUE,TRUE,FALSE
"2019-09-04","Tatooine","ios",671,346,245,195,0,51.56,36.51,29.06,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Asgard","android",163,65,39,26,0,39.88,23.93,15.95,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Asgard","ios",129,56,36,32,0,43.41,27.91,24.81,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Gargantua","android",727,335,232,184,0,46.08,31.91,25.31,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Gargantua","ios",546,249,183,144,0,45.6,33.52,26.37,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Gotham","android",449,167,102,82,0,37.19,22.72,18.26,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Gotham","ios",284,110,78,55,0,38.73,27.46,19.37,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Krypton","android",148,59,48,36,0,39.86,32.43,24.32,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Krypton","ios",125,53,45,34,0,42.4,36,27.2,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Mordor","android",204,92,65,48,0,45.1,31.86,23.53,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Mordor","ios",173,84,61,47,0,48.55,35.26,27.17,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Tatooine","android",701,315,212,177,0,44.94,30.24,25.25,,TRUE,TRUE,TRUE,FALSE
"2019-09-05","Tatooine","ios",606,296,210,172,0,48.84,34.65,28.38,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Asgard","android",180,59,44,32,0,32.78,24.44,17.78,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Asgard","ios",106,49,33,34,0,46.23,31.13,32.08,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Gargantua","android",853,378,254,202,0,44.31,29.78,23.68,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Gargantua","ios",607,311,208,158,0,51.24,34.27,26.03,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Gotham","android",403,147,95,71,0,36.48,23.57,17.62,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Gotham","ios",289,123,70,56,0,42.56,24.22,19.38,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Krypton","android",152,63,54,38,0,41.45,35.53,25,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Krypton","ios",127,58,39,41,0,45.67,30.71,32.28,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Mordor","android",208,89,55,45,0,42.79,26.44,21.63,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Mordor","ios",205,92,66,52,0,44.88,32.2,25.37,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Tatooine","android",820,369,245,211,0,45,29.88,25.73,,TRUE,TRUE,TRUE,FALSE
"2019-09-06","Tatooine","ios",693,329,228,193,0,47.47,32.9,27.85,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Asgard","android",206,68,31,27,0,33.01,15.05,13.11,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Asgard","ios",156,65,36,33,0,41.67,23.08,21.15,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Gargantua","android",1153,483,307,261,0,41.89,26.63,22.64,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Gargantua","ios",801,361,225,200,0,45.07,28.09,24.97,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Gotham","android",601,217,104,86,0,36.11,17.3,14.31,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Gotham","ios",432,192,112,86,0,44.44,25.93,19.91,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Krypton","android",233,84,52,47,0,36.05,22.32,20.17,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Krypton","ios",192,86,55,42,0,44.79,28.65,21.88,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Mordor","android",266,104,63,53,0,39.1,23.68,19.92,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Mordor","ios",246,103,60,55,0,41.87,24.39,22.36,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Tatooine","android",965,394,267,212,0,40.83,27.67,21.97,,TRUE,TRUE,TRUE,FALSE
"2019-09-07","Tatooine","ios",952,432,318,261,0,45.38,33.4,27.42,,TRUE,TRUE,TRUE,FALSE
"2019-09-08","Asgard","android",223,58,46,36,0,26.01,20.63,16.14,,TRUE,TRUE,TRUE,FALSE
"2019-09-08","Asgard","ios",188,76,55,51,0,40.43,29.26,27.13,,TRUE,TRUE,TRUE,FALSE
