"install_date","country","platform","d1_retention_pct","d7_retention_pct","d7_to_d1_ratio"
"2019-09-13","Gargantua","ios",45.56,,
"2019-09-13","Gotham","android",45.92,,
"2019-09-13","Gotham","ios",38.25,,
"2019-09-13","Krypton","android",47.57,,
"2019-09-13","Krypton","ios",47.57,,
"2019-09-13","Mordor","android",39.09,,
"2019-09-13","Mordor","ios",42.19,,
"2019-09-13","Tatooine","android",40.75,,
"2019-09-13","Tatooine","ios",40.87,,
"2019-09-14","Asgard","android",43.43,,
"2019-09-14","Asgard","ios",42,,
"2019-09-14","Gargantua","android",40.63,,
"2019-09-14","Gargantua","ios",47.83,,
"2019-09-14","Gotham","android",41.38,,
"2019-09-14","Gotham","ios",48.59,,
"2019-09-14","Krypton","android",37.9,,
"2019-09-14","Krypton","ios",45.7,,
"2019-09-14","Mordor","android",44.71,,
"2019-09-14","Mordor","ios",40.84,,
"2019-09-14","Tatooine","android",40.06,,
"2019-09-14","Tatooine","ios",46.38,,
"2019-09-15","Asgard","android",,,
"2019-09-15","Asgard","ios",,,
"2019-09-15","Gargantua","android",,,
"2019-09-15","Gargantua","ios",,,
"2019-09-15","Gotham","android",,,
"2019-09-15","Gotham","ios",,,
"2019-09-15","Krypton","android",,,
"2019-09-15","Krypton","ios",,,
"2019-09-15","Mordor","android",,,
"2019-09-15","Mordor","ios",,,
"2019-09-15","Tatooine","android",,,
"2019-09-15","Tatooine","ios",,,
